source,target
I have work tomorrow .,I have to work tomorrow .
it is my first note in lang - 8,This is my first ( diary / jouranl / ) in Lang - 8
just do it,Just do it ! !
Have a sligt headache .,I have a slight headache .
I like English best,I like English best
You know I am loving u,You know I love you
welcom to my home !,Welcome to my home !
fear,fear
To Hiraizumi by rent a car,To Hiraizumi by rental car
english is so duiffcul,english is so duiffcult
restart studing English,restart studying English
Tokyo Tower !,Tokyo Tower
A Taken - away Drawing,A drawing that was taken away
I did n't write diary long time !,I did n't write diary in a long time !
I 'm sad and crying .,I 'm sad and crying .
The harvest of tomato,The harvest of tomatoes
I want to be able to be English .,I want to be able to speak in English .
It was a very relaxing sunday : ),It was a very relaxing Sunday : )
"Monday , August 29","Monday , August 29th"
Twitter have addictiveness !,Twitter is addicting / addictive !
I 'm very worrying .,I 'm very worried .
Reading,Reading
Michael Jakson,Michael Jackson
"In some families when the primary wage - earner is sent abroad for a year or several years to work , all the family members accompany the worker . In other families only the worker moves while the other members remain at home . Discuss the two approaches and then indicate which approach you agree with and why .","In some families when the primary wage - earner is sent abroad for a year or several years to work , all of the family members accompany the worker ( overseas ) . In other families only the worker moves while the other members remain at home . Discuss the two approaches and then indicate which approach you agree with and why ."
I love cats .,I Love Cats .
Starting Lang - 8 for studing english,Starting Lang - 8 for studying english
Bob hate shopping,Bob hates shopping
This is an email I sent to my friend in the philippines .,This is an e - mail I sent to my friend in the Philippines .
Lack of time and studing,Lack of time to study
Language exchange in Skype ! !,Language exchange on Skype ! !
A First day of languege school,A First day of language school
how to succeed,How to succeed
Today was rainy all days .,Today was rainy all day .
Tortoise,( My ) Tortoise
TOEFL # 29 - The last day,TOEFL # 29 - The Last Day
Do u know how to help to a workcoholic person ?,Do you know how to help a workaholic ?
Alone in the bus,Alone on the bus
Establishing piano circle !,Establishing a piano circle !
Camping,Camping
I still have n't reported about business trip,I still have n't done my business trip report
Do I Need 4 Storage Boxes,Do I Need 4 Storage Boxes ?
last Thursday,Last Thursday
About morals and ehics,About morals and ethics
I start writting english dairy today !,I am start writting english diary today !
The Sherk 2,Shrek 2
It is dangerous who are listening to Ipod,It is dangerous for people to listen to music
I am studying Vetnam,I am studying Vietnam
Factory tour,Factory Tour
my first day,My first day .
"Recently , I skipped out on writting diary .","Recently , I skipped writing a diary ."
Fall a sleep . . .,Falling asleep . . .
practice and reward desart,practice and a rewarding dessert
< Movies > Disappearance of Haruhi Suzumiya,< Movies > The Disappearance of Haruhi Suzumiya
I wanna be to lose weight !,I wanna lose weight !
I ca n't to be a friend with . . . .,I ca n't be friends with . . . .
I started Lang - 8 since today ! !,I started Lang - 8 today ! !
Part - time job,Part time job No hyphen .
Presantaiton on Monday to my CEO,Presentation on Monday to my CEO
It is fine today !,It is clear today !
Any architect ?,Any architects ?
a little bit nervous,A little bit nervous
Do you think that aliens will land on Earth ? ( discussion ),Do you think that aliens will land on Earth ? ( discussion )
interpersomnal relation,interpersonal relation
Surely be a busy week,This week will surely be a busy week
I will go to German,I will go to Germany
I 'm first time diary written by english,My first time writing on a diary using English .
Start writing a dialy,Start writing a diary
Those were lovery memory,Those were lovely memories
Today I watched AVADAR,Today I watched AVATAR
Almost 2weeks . .,Almost 2 Weeks .
auction ~ ~,Auction ~ ~
drinked on yesterday,I drank yesterday
21-Mar,21-Mar
It 's the first dialy !,It 's the first diary !
General cleaning !,Spring cleaning !
to learn english,To learn English
How hot day ! !,What a hot day ! !
what subject ?,What Subject ?
my homehown BUSAN,my hometown BUSAN
"Suddenly , I wanted to eat fried chiken !","Suddenly , I wanted to eat fried chicken !"
Is it difficult to sent an item to Japan ?,Is it difficult to send an item to Japan ?
Does anyone can help me ?,Can someone help me ?
Winter Olympic,Winter Olympics
practise of making bread,practisinng making bread
about studying english,About studying English
Movie,Movie
about my luhcn .,about my lunch .
trying to have fun,Trying to Have Fun
"Chinese story , named In Pursuit of the Sun","A Chinese story , named In Pursuit of the Sun"
It is a good day .,Today is a good day .
hi it / s me,hi it / s me
Something happend in the site,Something happened on the site
I Contunued,I Continued
waste of money,Waste of Money
which one is true ?,which one is right ?
Trekking plans on Tomorrow,Trekking plans for Tomorrow
Hi every one !,Hi everyone !
hired at frist sight ?,hired at first sight ?
A man who leaked movies about Senkaku incident .,A man who leaked movies about the Senkaku incident .
long time no write . . .,Long time no write .
I 'm a sociak smoker .,I 'm a social smoker .
My friend is likely to part from his girlfriend .,My friend is likely to separate with his girlfriend .
Too eating .,Eating too much .
I had a dream speaking English,I had a dream where I was speaking English
A Massage Chair,A Massage Chair
Slightly Asymmetric Body,Slightly Asymmetrical Body
Submarine world,Submarine World
Before lunch,Before Lunch
Memorize in Japan,Memories of Japan
One day pass . . . . .,Another day has passed . . . . .
The English man has come to my gym .,An English man has come to my gym .
Tomorrow I have TOEIC exam,Tomorrow I have a / the TOEIC exam
First day,First day !
About my hobby .,About my hobbies .
To Curb Spending,Curbing Spending
Go Diving,Diving
It 's the bomb because the neighbor move in .,It 's the bomb because the neighbor moved out .
work connect,Something connected to my work
My firrst writing,My first writing
The first - time dairy in English,My first dairy in English
Arbeit,Work [ Arbeit is German ]
We gave 10000 picture books to my baby !,We 've read 10000 picture books to my baby !
write diary first time in English,h Writing a diary for the first time in English
"Nice to meet you , my name is `` nasu ``","Nice to meet you , my name is `` Nasu ``"
It 's friday ~ ~ ! !,It 's Friday ~ ~ ! !
Choosing among the correct words,Choosing the correct words
My youngest daughter is growing quickly,My youngest daughter is growing up too quickly
How to practise speaking,How to practice speaking
It ` s terrible morning,It ` s a terrible morning
Ninjya still exists ! ?,Ninjas still exist ! ?
the day in china,The day in China
Important of motivation .,The importance of motivation .
Am I am getting old fation ? ? ?,Am I am getting old fashioned ? ? ?
Saint Patrick Day !,Saint Patrick 's Day !
Beautiful Music with snow,Beautiful Music with Snow
May All Your New Year ' Day Be Happy !,May Your New Year 's Day Be Happy !
I 'd like to write many article . but . . . . .,I 'd like to write many articles . but . . . . .
My First Day at Lang - 8 !,My First Day on Lang - 8 !
Ten Anniversary of 9 . 11,Tenth Anniversary of 9 . 11
Can you help me,Can you help me ?
My first trip abroad on business,My first trip abroad for business
Thank you for hanging out with !,Thank you for hanging out with me !
Join !,( I 've ) Just Joined !
Please became pen - friends .,Please be my pen - pal !
Difference of Tokyo and New York City,The difference between Tokyo and New York City
My memorie of a trip .,My memory of a trip .
What is the difference between two sentence ?,What is the difference between these two sentences ?
I 'm suprised ! ! ! ! ! ! ! ! !,I 'm Surprised !
Another Trekking,Another Trek
Hey ! Don ` t made me crazy !,Hey ! Don ` t make me go crazy !
I like here,I like it here
Where are the tourist attractions in Seoul,Where are the tourist attractions in Seoul ?
Vacation,Vacation
My bone was broken .,I had broken a bone .
"Oh , it 'll rain whole week","Oh , it 'll rain the / this whole week"
HI I am a cathlic .,"Hi , I am a Catholic ."
Take Care Of Heat Stroke .,Be Careful Of Heat Stroke .
This year,This Year
The memory in university,The memory of the university
New semester begun,New semester has begun
My first daily,My first journal / entry / log
Barbie doll,Barbie Doll
I 'm not good at singing a song,I 'm not good at singing songs .
hello ! ! !,hello ! ! ! Hello !
The visa system is discriminatoin on the national level !,The visa system is discrimination on the national level !
