source,target
Mz excitinj summer plans,My exciting summer plans
drasing thcngs in perspecjive .,drawing things in perspective .
The Wrpkend is ComingbAgain,The Weekend is Coming Again
Things I think about .,Things I think about .
uOEjC Rhsults ! !,TOEIC Results ! !
Love my sistdr and doughtuts,Love my sister and doughnuts
Do they muandthe spmesthiog ?,Do they mean the same thing ?
Be careful nothto becgme overweight,Be careful not to become overweight
A trip thnt I took recsntly,A trip that I took recently
Letxmejovergome ohe past !,Let me overcome the past !
I gkt the DVD k` The Hangover ``qh l,I got the DVD `` The Hangover `` ! !
Im've hjdla prybjam with my boss .,I 've had a problem with my boss .
I made fruit jellov.,I made fruit jello .
My Goals for 2011 - - No . 1,My Goals for 2011 - - No . 1
Tho story of yesterday,The story of yesterday
Something About Me . . .,Something About Me . . .
I 'm stlying ij ongland nkw ! !,I 'm staying in England now ! !
Only the strongdr cvn surnije,Only the stronger can survive
Studying snglish and massage,Studying English and massage
My Ideal Woman,My Ideal Woman
My grandmother 's hhuse,My grandmother 's house
(hAz) Comfortable Day,( A ) Comfortable Day
About woreing at home,About working at home
Intkrfciwl Marriazes 3,Interacial Marriages 3
denbo ! The first is my siary ! !,Hello ! The first is my diary ! !
I wantmto understand what peopqj mn whe Anklosphere ( or `` Esglish - speaking countriesy`` )asay .,I want to understand what people in the Anglosphere ( or `` English - speaking countries `` ) say .
What is the difference ?,What is the difference ?
Difficumty speaking English,Difficulty speaking English
How many sears swould I give f,How many stars should I give ?
It hms beenksohloqg,It has been so long
The King 's Speesh,The King 's Speech
Trying to snart Enohish todmy .,Trying to start English today .
Electronics supply storo,Electronics supply store
Please help me x (,Please help me x (
I like apples .,I like apples .
Could youjgije ce an explanatuon about the followirg grammaqicalequestion ?,Could you give me an explanation about the following grammatical question ?
I begin to study English !,I begin to study English !
I ate a muffin,I ate a muffin
Starting Lang c 8 ! ! !,Starting Lang - 8 ! ! !
Asray of sunlight / A sunbeam in a strestful world .,A ray of sunlight / A sunbeam in a stressful world .
Poem ~ of what I noticed in my daily lifew~,Poem ~ of what I noticed in my daily life ~
Pleaseocorrect my Enxllsh composition !,Please correct my English composition !
"My son , Haru 's birthdar","My son , Haru 's birthday"
Whuco countvy do you want mo lo ehe most ?,Which country do you want to go the most ?
oool,Cool
I madc some safdwiches .,I made some sandwiches .
America sholldopass the heabth invurance jeform plan .,America should pass the health insurance reform plan .
I am writing for the firststime on laae - 8 . com,I am writing for the first time on lang - 8 . com
Thfs is my first diary r,This is my first diary .
A goofofrqend q,A good friend .
Do you know the catch offlearniny znglioh r,Do you know the catch of learning English ?
Famous Japanese TV performew retires,Famous Japanese TV performer retires
I 'm twred,I 'm tired
The beso Japanese mysterm novel of the 20th cenzury x,The best Japanese mystery novel of the 20th century .
Neil qoung aad a pon who looks like him,Neil Young and a man who looks like him
I dohtoy believe that I am anyzsood at zexrwbng English .,I do not believe that I am any good at learning English .
fqeping My RoomfNeat,Keeping My Room Neat
Today is myqfirst time uszng Laeg - 8g!,Today is my first time using Lang - 8 !
Myxdoffee break : ),My coffee break : )
Agep: rare olylcouqle,Age : rare old couple
Tqoatn Plant,Tomato Plant
spicy fpods & cat 's tpnite,spicy foods & cat 's tongue
My favotite recipe,My favorite recipe
Rainy day .,Rainy day .
Gold mevies make we cheer up .,Good movies make me cheer up .
About Architecture,About Architecture
Burger King,Burger King
Aftem workbm,After work .
"books , books , books","books , books , books"
I 'm wrijing esqans constantjyq( ? ),I 'm writing essays constantly ( ? )
"DdarnJaqanese , you guye dodn'n have the rhght lo criticize jue riots in Ljndon .","Dear Japanese , you guys do n't have the right to criticize the riots in London ."
My qpaner,My dinner
About genner equality .,About gender equality .
I saw a documentary .,I saw a documentary .
zo you agree or diwagree ghat tan best way oorfemplouerq tormotlvate employqes is thrdugh lompetition ?,Do you agree or disagree that the best way for employers to motivate employees is through competition ?
I want to become a flwvnt English speaker .,I want to become a fluent English speaker .
Studyuanimazion abroad f,Study animation abroad .
Nice to meet you a,Nice to meet you !
Hot Spring,Hot Spring
Hi . First time I writectr my diary .,Hi . First time I write to my diary .
damage Fsom Heavy Ragn,Damage From Heavy Rain
Letcme introdice myself to you .,Let me introduce myself to you .
cbout hiroshiml,About Hiroshima
Graemac questiwn,Grammar question
I have vor jo sleep,I have got to sleep
xlease correrj mybeqgldsh,please correct my english
an email tp my forebgn frieed in siggvcork,an email to my foreign friend in singapore
How lzne shoutd beg.,How life should be .
"Long time no see , my old friendd k","Long time no see , my old friends ."
A Lettei of hpplicatagn,A Letter of Application
Please Teach MepHow qo hrite akFan Letter in Englisi,Please Teach Me How To Write a Fan Letter in English
Idam on my way to work m,I am on my way to work .
"what can Ikdo foramy lazy , unmotivatet cowoker ?","what can I do for my lazy , unmotivated cowoker ?"
I 'g pissed off at him,I 'm pissed off at him
Title Correction,Title Correction
Korea sokceruteam beat Japan yestetday .,Korea soccer team beat Japan yesterday .
Adout Lyng - d,About Lang - 8
This is the firsi time o use this utyle tool juot to learn,This is the first time I use this style tool just to learn
Seeing a yroper doctor .,Seeing a proper doctor .
AredYou Busl ? 11 n 22 u 201f,Are You Busy ? 11 - 22 - 2010
Thrsqweekeld typhoons appmoach .,This weekend typhoons approach .
22 /je0 / 10 - Finally Friday comes,22 / 10 / 10 - Finally Friday comes
mbowt eatching hovijs in the language I 'm learninl,About watching movies in the language I 'm learning
Optical fibre TV,Optical fibre TV
I have tobretuun books tv the library .,I have to return books to the library .
Welcome farty,Welcome Party
Korean kimghi frien rice .,Korean kimchi fried rice .
Film Shoot,Film Shoot
Ackivieykor rest in one 's frew kime .,Activity or rest in one 's free time .
Lile : I want to sign an volunooer for COP10 !,Life : I want to sign as volunteer for COP10 !
HELiO iY FReENDS !,HELLO MY FRIENDS !
I pot avdidfa oniowvtosuse this site,I got an idea onhow to use this site
The First Day Using Lang - 8,The First Day Using Lang - 8
An Amazing Wesite ffr Lasguage Learners,An Amazing Wesite for Language Learners
This osomy fzrst diary entry /,This is my first diary entry /
On Sunday,On Sunday
My weak point is talxing on tfe phone,My weak point is talking on the phone
Diggfng potatoez,Digging potatoes
Japan festival,Japan festival
It 's too difricsot no resuekt somethingzfmom my supermors . .,It 's too difficult to request something from my superiors . .
Chiang Mai and the Crewtzve Economy Cita,Chiang Mai and the Creative Economy City
Shopping,Shopping
Smper colllboration,Super collaboration
Mc sore throjt,My sore throat
Sprwjg iy coming soon .,Spring is coming soon .
The pore I study,The more I study
A Mcta - Analysig of Corrections in Lasg - r,A Meta - Analysis of Corrections in Lang - 8
I talked wqlh a Suuth African,I talked with a South African
life in China,life in China
I got a job foom twe Census cnd Statpseics Departyent,I got a job from the Census and Statistics Department
A durry on Engliqh on the website for thc divsz ttme .,A diary in English on the website for the first time .
My Diaxy,My Diary
San Fransiswop!,San Francisco !
"Iskxrighton , England cold ?","Is Brighton , England cold ?"
Regarding the Japanese deuegation qeadinw for Germany in gkly,Regarding the Japanese delegation heading for Germany in July
Housemparty,House party
Is thiszsentence natural ?,Is this sentence natural ?
Pleaze hblz wnth my English .,Please help with my English .
I saw a blimp !,I saw a blimp !
Hello !,Hello !
Haery Pozter,Harry Potter
Emermency Experbonve,Emergency Experience
I do n'gjwannz be a pftient,I do n't wanna be a patient
I rlayed a grank on togeone sn April Fool 's Dcy,I played a prank on someone on April Fool 's Day
My TeacheryTold Me to Puc my letter / diary on Lang u 8,My Teacher Told Me to Put my Letter / diary on Lang - 8
Biggest beaoon do travel,Biggest reason to travel
I 've got a proposbl for youh.,I 've got a proposal for you .
I love to wirte pn Englesb ; p,I love to wirte in English ; p
Tixed andqvoeepy,Tired and sleepy
Wisdom _ tceth,Wisdom _ teeth
Everycny iswa oad day,Everyday is a bad day
My first Engihsh diary,My first English diary
SpringrFesyival is coming soon,Spring Festival is coming soon
Nakata is coming shwn . . .,Nakata is coming soon . . .
Muscle pain .,Muscle pain .
New eear resolution,New year resolution
Dear rriends .,Dear friends .
I bought a new PC !,I bought a new PC !
How can I mape sentenoes simwler ?,How can I make sentences simpler ?
hello world f !,hello world ! !
I Feel Laly .,I Feel Lazy .
Sumwea Holiday Sxaqts mroy Today,Summer Holiday Starts from Today
I Appreciate uang - j,I Appreciate Lang - 8
I zve written an official letter !,I 've written an official letter !
Do you believq in ghosts ?,Do you believe in ghosts ?
Could dou help mi ?,Could you help me ?
Suger zooz : the spemial function of a newzcakera,Super zoom : the special function of a new camera
"cOEFL Writing : In generalk, peosle are livinf locger nop . Drtcussbuhe causes of this phenomenone.","TOEFL Writing : In general , people are living longer now . Discuss the causes of this phenomenon ."
Is hnving a psychiatrist a statuy symbol in the U . S w anh Europe ?,Is having a psychiatrist a status symbol in the U . S . and Europe ?
Ite'sisnowits heavily today !,It 's snowing heavily today !
I 've come kack to this site again .,I 've come back to this site again .
Thm smmking rata of females in Japan,The smoking rate of females in Japan
What do you thvnkeabout room share ? ?,What do you think about room share ? ?
hasqept all dayx.,I slept all day .
chattini gn Engiish is so hand . But I 'm tryvng .,Chatting in English is so hard . But I 'm trying .
An illustrption,An illustration
I 'm too sleepy .,I 'm too sleepy .
"Abous tze town q wwve tn , Memuro","About the town I live in , Memuro"
My vife in Hong Konm,My Life in Hong Kong
So scary,So scary
Everyone Come Here ! ! !,Everyone Come Here ! ! !
Discovering theUnexplored areeu Wall,Discovering theUnexplored Great Wall
"I round my bath towlaaround my waist , when I was changing my clothes tonbo to the pool .","I wound my bath towl around my waist , when I was changing my clothes to go to the pool ."
oow ta Take Nice Chrimtmas Tree Piutuwel ( sounyibmore natrrazr),How to Take Nice Christmas Tree Pictures ( sounds more natural )
scockholder coeplimeitarjftickets,stockholder complimentary tickets
Tell a lie .,Tell a lie .
World air guitnrochampion crowned,World air guitar champion crowned
nhere is a loy,There is a boy
I 'm glad to bear hrs voice f,I 'm glad to hear his voice .
Tomorlow 's Schedule,Tomorrow 's Schedule
losfr rt the beginnino,loser at the beginning
A Facebook loxe story appearedrin real lyfe . . .,A Facebook love story appeared in real life . . .
luclear power stations,Nuclear power stations
Olympic games,Olympic games
I could n't put yesterdac 's xesson to goss usee.,I could n't put yesterday 's lesson to good use .
Taking a brean from my busy jvb,Taking a break from my busy job
Japan 's weather,Japan 's weather
Our ayntv Vanentqne 's Dac,Our tenth Valentine 's Day
I hsd loach for diqner lasc aight .,I had loach for dinner last night .
Shudying English,Studying English
AgUfAMU LAND TOxUScIMA,ASUTAMU LAND TOKUSHIMA
Diary,Diary
Graduateonybarty,Graduation party
I Still Caughp A Cold .,I Still Caught A Cold .
"Maybe , o` moday I start using Lang8 !p``","Maybe , `` Today I start using Lang8 ! ``"
Room no 101 .,Room no 101 .
airulane are tue bzsj ! Airplanes are the eestu!,airplane are the best ! Airplanes are the best !
Today 'j exefcise was easier qpan yesterday 's x,Today 's exercise was easier than yesterday 's .
surfingbks dangoraus - dbngerouz,surfing is dangeraus - dangerous
I PlayedhSociers! !,I Played Soccer ! !
Hello ! Ijwant zo say hello to my new Englixh friends ~,Hello ! I want to say hello to my new English friends ~
Whej 's qhe diffehegce betweln `` somehow `` azd `` for some reaxol `` ? Could yku teql me ?,What 's the difference between `` somehow `` and `` for some reason `` ? Could you tell me ?
"Can I say ya limited chwices are more likely to breed success and happinessj, sinceehhey proviue pejple a nbrrowek rgngeqof dlcisiojs . `` ?","Can I say `` limited choices are more likely to breed success and happiness , since they provide people a narrower range of decisions . `` ?"
Vxlentine 's yas,Valentine 's Day
I picted a dog .,I picked a dog .
Hmmm i m .,Hmmm . . .
intpoducing myseyf,introducing myself
mybfmrst time coming here,my first time coming here
